商品,購物資訊,種類,用途,付款方式,運費,購買時間,取貨時間,入手狀況,價錢,備註,備註1,總和,20481
JTLEGEND - IPHONE Lightning To Usb Cable,蝦皮,3C,3C充電線,中國信託刷卡,NT:0,2018/6/18,43277,全新,480,190101使用,使用保固成功 換全新一條,,
3M單人床保潔墊(平單式),蝦皮,日常用品,墊床,中國信託刷卡,NT:0,2018/6/30,不可考,全新,1487,當天使用,,,
HP專業電競滑鼠墊 MP7035,Yahoo購物中心,3C,滑鼠墊,中國信託刷卡,NT:0,2018/7/1,43283,全新,540,當天使用,,,
2.OSRAM LED燈泡 7W ,IKEA,日常用品,燈泡,中國信託刷卡,NT:0,2018/7/2,43283,全新,129,未使用,,,
FORS? 工作燈藍色,IKEA,日常用品,工作桌座,中國信託刷卡,NT:0,2018/7/2,43283,全新,599,當天使用,,,
1.OSRAM LED燈泡 7W ,IKEA,日常用品,燈泡,中國信託刷卡,NT:0,2018/7/2,43283,全新,129,當天使用,,,
萬用毯(藍),IKEA,日常用品,萬用,中國信託刷卡,NT:0,2018/7/2,43283,全新,159,未使用,,,
枕頭套(藍),IKEA,日常用品,睡覺,中國信託刷卡,NT:0,2018/7/2,43283,全新,295,當天使用,,,
GURLI 抱枕套 (藍),IKEA,日常用品,睡覺,中國信託刷卡,NT:0,2018/7/7,43288,全新,138,當天使用,,,
耐冷熱啤酒杯,IKEA,日常用品,喝水,中國信託刷卡,NT:0,2018/7/7,43288,全新,15,當天使用,,,
製冰袋,IKEA,日常用品,製冰,中國信託刷卡,NT:0,2018/7/7,43288,全新,49,當天使用,,,
SKUBB 收納盒 (黑),IKEA,日常用品,收納,中國信託刷卡,NT:0,2018/7/7,43288,全新,249,當天使用,,,
UNI-Q 淡雅海洋香氣 沐浴3合一,PC,日常用品,洗澡,現金,NT:0,2018/7/7,43288,全新,299,當天使用,,,
PUMA 藍色拖鞋 ,翰星百貨,日常用品,休閒,中國信託刷卡,NT:0,2018/7/8,43289,全新,490,當天使用,,,
洗衣袋,翰星百貨,日常用品,洗衣,中國信託刷卡,NT:0,2018/7/8,43289,全新,39,當天使用,,,
潔身巾,翰星百貨,日常用品,洗澡,中國信託刷卡,NT:0,2018/7/8,43289,全新,49,當天使用,,,
水瓢(藍),大創百貨,日常用品,放清潔用品,現金,NT:1,2018/7/8,43289,全新,39,當天使用,,,
3M冷氣清潔用具,蝦皮,日常用品,清洗,中國信託刷卡,NT:0,2018/7/11,不可考,全新,361,使用過1次,,,
小米手環3,蝦皮,3C,紀錄,中國信託刷卡,NT:0,2018/7/19,不可考,全新,927,當天使用,,,
Glasslock (韓國碗),Yahoo購物中心,日常用品,裝食物,中國信託刷卡,NT:0,2018/7/20,43305,全新,546,當天使用,,,
椅墊與門縫擋,蝦皮,日常用品,家用,中國信託刷卡,NT:30,2018/7/20,不可考,全新,364,當天使用,,,
miniDP線,Yahoo購物中心,3C,轉接螢幕,中國信託刷卡,NT:0,2018/7/21,不可考,全新,264,當天使用,,,
三層推車,IKEA,日常用品,裝雜物,中國信託刷卡,NT:0,2018/7/22,43303,全新,899,當天使用,,,
HDMI線,燦坤,3C,給螢幕用,中國信託刷卡,NT:0,2018/7/26,43307,全新,289,當天使用,,,
3.5mm音源線,燦坤,3C,給喇叭用,中國信託刷卡,NT:0,2018/7/28,43309,全新,215,收回盒子,,,
 羅技 G433 7.1聲道有線遊戲耳機麥克風,Yahoo購物中心,3C,電腦耳機,中國信託刷卡,NT:0,2018/7/29,43311,全新,2990,當天使用,,,
羅技耳機架,Yahoo購物中心,3C,電腦耳機,中國信託刷卡,NT:0,2018/7/29,43311,全新,0,當天使用,賣,,
犀牛頓NX殼 For iphone 8,犀牛頓官網,3C,保護手機,中國信託刷卡,NT:0,2018/8/16,43373,全新,860,當天使用,,,
Marshall 鑰匙孔,FB二手平台,日常用品,放鑰匙,現金,NT:0,2018/8/26,43373,二手,500,正在使用,,,
Marshall 小喇叭,FB二手平台,3C,吉他音箱,現金,NT:0,2018/8/26,43373,二手,1000,未使用,,,
SONY WF-SP700N (耳掛式運動藍芽耳機),蝦皮,3C,聽音樂,現金,NT:0,2018/9/20,43367,全新,4397,當天使用,賣,,
護膝,Yahoo購物中心,運動,跑步用,LINE PAY,NT:0,2018/9/26,不可考,全新,0,正在使用,,,
宜家棉被(藍),宜家具門市,日常用品,睡覺,現金,NT:0,2018/9/30,43373,全新,199,當天使用,,,
瑜珈墊,Yahoo購物中心,運動,伸展用,LINE PAY,NT:0,2018/10/2,不可考,全新,0,正在使用,,,
犀牛頓外接鏡頭接條/0.6高畫質廣角,蝦皮,3C,手機拍照,現金,NT:0,2018/10/2,43352,全新,1485,未使用,,,
